Grade,Energy,Entropy,Correlation,Contrast,Homogeneity,Variance,Sum Mean,Inertia,Cluster Shade,Cluster Tendency,Max Probability,Inverse Variance
1,0.1652849,0.9678492,0.5387397,0.527813,0.07961945,1.537618,12.80717,0.527813,-42.13982,706.7087,0.2567782,0.308302
1,0.2018317,0.9348694,0.6883036,0.5350816,0.07865947,1.099308,12.86781,0.5350816,-24.59446,387.5941,0.3874835,0.3200599
1,0.2235297,0.9473613,0.6236531,0.5888714,0.0806161,1.214979,12.58578,0.5888714,-29.27663,454.618,0.4248764,0.2975677
1,0.20604783,0.94161715,0.44534097,0.57428714,0.078692765,1.9075615,13.032462,0.57428714,-71.36209,1167.9397,0.31858115,0.27947213
1,0.14623327,1.1159186,0.36658787,0.8161012,0.084146521,2.2281629,12.310643,0.8161012,-74.15041,1205.3546,0.2865212,0.39796182
1,0.14204479,1.1476217,0.33238108,0.8486546,0.083551434,2.4973835,12.348496,0.8486546,-77.935253,1137.9503,0.30076987,0.39406457
1,0.11552818,1.2264825,0.27544676,0.96314448,0.084473622,3.0590847,12.351776,0.96314448,-97.067006,1497.4953,0.25824438,0.39509329
1,0.2233985,0.9388572,0.5646871,0.6048449,0.08010945,1.383893,12.68152,0.6048449,-40.16579,595.537,0.4242144,0.3381677
1,0.12064886,1.1837919,0.36285951,0.99790126,0.079497172,2.1015043,12.906427,0.99790126,-61.62574,1044.5265,0.26674629,0.41647486
1,0.1173283,1.193482,0.355094,0.9359501,0.07995437,2.223524,12.81229,0.9359501,-53.49562,848.1303,0.2457137,0.3655772
1,0.10455182,1.2684661,0.30296448,1.1837852,0.081087108,2.5279225,12.759881,1.1837852,-74.049794,1287.471,0.25035635,0.43780285
1,0.12507225,1.173347,0.35998958,0.96381145,0.079945507,2.1576677,12.856726,0.96381145,-65.17505,1089.2917,0.27682032,0.41804367
1,0.096058425,1.2957775,0.28090626,1.2661873,0.082971219,2.7364649,12.512819,1.2661873,-78.307955,1313.9563,0.21940155,0.44134698
1,0.088216818,1.3469892,0.22518345,1.3342777,0.086614523,3.6228025,12.200627,1.3342777,-120.32803,1993.0216,0.20453661,0.44174905
1,0.11295239,1.2232895,0.30676371,0.98682579,0.081313296,2.6535537,12.680553,0.98682579,-76.537529,1167.5104,0.23810187,0.38623142
