Grade,Energy,Entropy,Correlation,Contrast,Homogeneity,Variance,Sum Mean,Inertia,Cluster Shade,Cluster Tendency,Max Probability,Inverse Variance,Short Run Emphasis (SRE),Long Run Emphasis (LRE),Gray-Level Nonuniformity (GLN),Run Length Nonuniformity (RLN),Run Percentage (RP),Low Gray-Level Run Emphasis (LGRE),High Gray-Level Run Emphasis (HGRE),Short Run Low Gray-Level Emphasis (SRLGE),Short Run High Gray-Level Emphasis (SRHGE),Long Run Low Gray-Level Emphasis (LRLGE),Long Run High Gray-Level Emphasis (LRHGE)
1,0.1652849,0.9678492,0.5387397,0.527813,0.07961945,1.537618,12.80717,0.527813,-42.13982,706.7087,0.2567782,0.308302,3.39E-05,31223.64737,42356.5574,1155.915242,0.751331329,0.941544844,24.62233154,3.20E-05,0.000468875,29228.55614,1319093.609
1,0.2018317,0.9348694,0.6883036,0.5350816,0.07865947,1.099308,12.86781,0.5350816,-24.59446,387.5941,0.3874835,0.3200599,3.19E-05,32895.60386,48653.9868,1174.092531,0.858295441,0.943899929,7.564230717,3.02E-05,0.000154897,30922.89633,387228.2462
1,0.2235297,0.9473613,0.6236531,0.5888714,0.0806161,1.214979,12.58578,0.5888714,-29.27663,454.618,0.4248764,0.2975677,3.12E-05,34116.00394,39354.03076,844.4664867,0.692680359,0.944073336,37.68215834,2.96E-05,0.000703544,31946.27764,2038620.848
1,0.20604783,0.94161715,0.44534097,0.57428714,0.078692765,1.9075615,13.032462,0.57428714,-71.36209,1167.9397,0.31858115,0.27947213,3.50E-05,32108.72005,42979.78572,737.8814726,0.745262146,0.950318217,26.74716286,3.34E-05,0.000508115,30349.5755,1437595.554
1,0.14623327,1.1159186,0.36658787,0.8161012,0.084146521,2.2281629,12.310643,0.8161012,-74.15041,1205.3546,0.2865212,0.39796182,3.58E-05,29994.8531,54988.3498,1047.30752,0.941429138,0.956206279,1.19740564,3.43E-05,4.29E-05,28702.2943,35808.8658
1,0.14204479,1.1476217,0.33238108,0.8486546,0.083551434,2.4973835,12.348496,0.8486546,-77.935253,1137.9503,0.30076987,0.39406457,3.52E-05,31089.7592,55241.1373,947.062891,0.941631317,0.95777161,1.21470836,3.37E-05,4.21E-05,29767.0104,38339.2756
1,0.11552818,1.2264825,0.27544676,0.96314448,0.084473622,3.0590847,12.351776,0.96314448,-97.067006,1497.4953,0.25824438,0.39509329,3.48E-05,32467.0325,55066.5624,810.214236,0.933067322,0.959797045,1.42809135,3.35E-05,4.50E-05,31040.5036,52479.1109
1,0.2233985,0.9388572,0.5646871,0.6048449,0.08010945,1.383893,12.68152,0.6048449,-40.16579,595.537,0.4242144,0.3381677,3.57E-05,29837.5441,52864.9799,1061.38969,0.91765213,0.95070027,1.82909546,3.39E-05,5.47E-05,28362.6308,69639.7932
1,0.12064886,1.1837919,0.36285951,0.99790126,0.079497172,2.1015043,12.906427,0.99790126,-61.62574,1044.5265,0.26674629,0.41647486,3.85E-05,29392.2563,55990.2938,908.417727,0.931922913,0.966775699,2.05499538,3.73E-05,6.03E-05,28364.4799,83718.2655
1,0.1173283,1.193482,0.355094,0.9359501,0.07995437,2.223524,12.81229,0.9359501,-53.49562,848.1303,0.2457137,0.3655772,3.72E-05,29832.88679,46838.92865,698.8909598,0.786903381,0.962499761,20.56646995,3.59E-05,0.000396947,28540.91791,1097943.749
1,0.10455182,1.2684661,0.30296448,1.1837852,0.081087108,2.5279225,12.759881,1.1837852,-74.049794,1287.471,0.25035635,0.43780285,3.59E-05,31086.3912,57781.9967,867.79539,0.957443237,0.968711088,1.14383259,3.48E-05,4.09E-05,30113.1751,35724.3856
1,0.12507225,1.173347,0.35998958,0.96381145,0.079945507,2.1576677,12.856726,0.96381145,-65.17505,1089.2917,0.27682032,0.41804367,3.69E-05,30125.3141,56506.5169,925.755936,0.946266174,0.964542872,1.28374084,3.56E-05,4.48E-05,29022.3795,42006.6504
1,0.096058425,1.2957775,0.28090626,1.2661873,0.082971219,2.7364649,12.512819,1.2661873,-78.307955,1313.9563,0.21940155,0.44134698,3.83E-05,29090.6303,57403.3968,936.489859,0.954544067,0.967341787,1.16646101,3.71E-05,4.41E-05,28128.6065,34610.5919
1,0.088216818,1.3469892,0.22518345,1.3342777,0.086614523,3.6228025,12.200627,1.3342777,-120.32803,1993.0216,0.20453661,0.44174905,3.76E-05,29496.785,57509.4222,907.449766,0.956188202,0.96739854,1.14445951,3.64E-05,4.28E-05,28515.8685,33902.5321
1,0.11295239,1.2232895,0.30676371,0.98682579,0.081313296,2.6535537,12.680553,0.98682579,-76.537529,1167.5104,0.23810187,0.38623142,3.54E-05,31279.47835,52339.31466,852.8990121,0.882965088,0.961443746,5.761844712,3.42E-05,0.000124874,29972.92277,288487.5876
1,0.21152459,0.97646424,0.38787874,0.64634847,0.079034821,2.1991249,13.05137,0.64634847,-81.139407,1379.0053,0.39295164,0.26721607,3.31E-05,33950.29135,37378.23446,669.4186953,0.643257141,0.952673152,56.4156565,3.18E-05,0.001047141,32073.83192,3065160.073
1,0.091897696,1.3220591,0.26012965,1.2095487,0.084360515,3.0921319,12.325636,1.2095487,-88.402466,1382.5317,0.21574328,0.44591118,3.64E-05,30098.4794,57868.5316,849.726368,0.9585495,0.968895518,1.13455189,3.53E-05,4.13E-05,29169.3781,34113.5554
1,0.045817071,1.5882412,0.15065967,1.8146365,0.092626734,5.5531639,11.669478,1.8146365,-137.05453,2283.4663,0.10972954,0.44904749,3.79E-05,31194.8745,58242.2549,654.323618,0.956066132,0.972102773,1.22772504,3.70E-05,4.40E-05,30222.0799,41291.1871
1,0.080984911,1.3429591,0.27924436,1.1809183,0.083717363,2.8346872,12.336057,1.1809183,-66.451605,1007.9145,0.18543765,0.45002395,3.49E-05,31510.3252,58182.6336,816.131127,0.960269928,0.970273328,1.12893815,3.39E-05,3.93E-05,30574.4655,35570.5818
1,0.1046838,1.240809,0.3725414,1.067924,0.08123741,1.946433,12.55089,1.067924,-37.17234,568.3899,0.2422099,0.438381,3.34E-05,31747.6558,56681.1614,956.960303,0.951644897,0.963676798,1.15932222,3.22E-05,3.86E-05,30590.1424,36832.3483
1,0.1176261,1.205675,0.3499507,0.9926267,0.08111538,2.218002,12.66211,0.9926267,-61.06261,975.1856,0.268225,0.4233636,3.57E-05,30503.9798,56829.5197,962.184413,0.952392578,0.964381615,1.15721128,3.44E-05,4.12E-05,29422.1349,35275.7478
1,0.1218023,1.155005,0.4008269,1.017039,0.0822682,1.783114,12.51537,1.017039,-50.71956,929.4334,0.2330936,0.4331035,3.63E-05,29317.6516,56299.5864,1213.02324,0.948856354,0.962144985,1.17264013,3.50E-05,4.25E-05,28206.8415,34496.9189
