Grade,Short Run Emphasis (SRE),Long Run Emphasis (LRE),Gray-Level Nonuniformity (GLN),Run Length Nonuniformity (RLN),Run Percentage (RP),Low Gray-Level Run Emphasis (LGRE),High Gray-Level Run Emphasis (HGRE),Short Run Low Gray-Level Emphasis (SRLGE),Short Run High Gray-Level Emphasis (SRHGE),Long Run Low Gray-Level Emphasis (LRLGE),Long Run High Gray-Level Emphasis (LRHGE)
1,3.39E-05,31223.64737,42356.5574,1155.915242,0.751331329,0.941544844,24.62233154,3.20E-05,0.000468875,29228.55614,1319093.609
1,3.19E-05,32895.60386,48653.9868,1174.092531,0.858295441,0.943899929,7.564230717,3.02E-05,0.000154897,30922.89633,387228.2462
1,3.12E-05,34116.00394,39354.03076,844.4664867,0.692680359,0.944073336,37.68215834,2.96E-05,0.000703544,31946.27764,2038620.848
1,3.50E-05,32108.72005,42979.78572,737.8814726,0.745262146,0.950318217,26.74716286,3.34E-05,0.000508115,30349.5755,1437595.554
1,3.58E-05,29994.8531,54988.3498,1047.30752,0.941429138,0.956206279,1.19740564,3.43E-05,4.29E-05,28702.2943,35808.8658
1,3.52E-05,31089.7592,55241.1373,947.062891,0.941631317,0.95777161,1.21470836,3.37E-05,4.21E-05,29767.0104,38339.2756
1,3.48E-05,32467.0325,55066.5624,810.214236,0.933067322,0.959797045,1.42809135,3.35E-05,4.50E-05,31040.5036,52479.1109
1,3.57E-05,29837.5441,52864.9799,1061.38969,0.91765213,0.95070027,1.82909546,3.39E-05,5.47E-05,28362.6308,69639.7932
1,3.85E-05,29392.2563,55990.2938,908.417727,0.931922913,0.966775699,2.05499538,3.73E-05,6.03E-05,28364.4799,83718.2655
1,3.72E-05,29832.88679,46838.92865,698.8909598,0.786903381,0.962499761,20.56646995,3.59E-05,0.000396947,28540.91791,1097943.749
1,3.59E-05,31086.3912,57781.9967,867.79539,0.957443237,0.968711088,1.14383259,3.48E-05,4.09E-05,30113.1751,35724.3856
1,3.69E-05,30125.3141,56506.5169,925.755936,0.946266174,0.964542872,1.28374084,3.56E-05,4.48E-05,29022.3795,42006.6504
1,3.83E-05,29090.6303,57403.3968,936.489859,0.954544067,0.967341787,1.16646101,3.71E-05,4.41E-05,28128.6065,34610.5919
1,3.76E-05,29496.785,57509.4222,907.449766,0.956188202,0.96739854,1.14445951,3.64E-05,4.28E-05,28515.8685,33902.5321
1,3.54E-05,31279.47835,52339.31466,852.8990121,0.882965088,0.961443746,5.761844712,3.42E-05,0.000124874,29972.92277,288487.5876
1,3.31E-05,33950.29135,37378.23446,669.4186953,0.643257141,0.952673152,56.4156565,3.18E-05,0.001047141,32073.83192,3065160.073
1,3.64E-05,30098.4794,57868.5316,849.726368,0.9585495,0.968895518,1.13455189,3.53E-05,4.13E-05,29169.3781,34113.5554
